Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-03-24,Primer,2004,https://boxd.it/41xszZ,4,,"Mainstreams films that involve time travel usually gloss over the science and logic behind the time travel to focus on the thrilling sequences from the plot. Primer flips that focus. 

Wow. What a big-brain film. Respect to anyone that can watch this film and actually understand it. I understood maybe 10% of this film, and subsequently needed hours of YouTube videos explaining what I just watched. I definitely need to watch this again at some point to solve this puzzle. 

Huge kudos to the filmmakers that created something so thoughtful on a puny budget. It makes me want to say that films with a sloppy screenplay really have no excuse 😂

I’m docking one star on this, mainly because I’m personally not the biggest fan of super big brain films. Doesn’t detract from the respect I have for the film though.",,2023-02-14
2023-03-27,Pathaan,2023,https://boxd.it/42qGKd,1.5,,"Aggressively fine is how I’d describe this. 

I get the hype and anticipation around this - Shah Rukh Khan’s first film in five years. He has strong charisma and charms audiences. I myself am a huge fan too, I’ve grown up watching his movies. However, his later movies haven’t really had the same charm and legacy as his earlier movies. I feel the same way about Pathaan- I doubt this will really be a “timeless classic”. I wish I could see Shah Rukh Khan do more unique roles again like Chak De India or Dear Zindagi. 

A lot of things just felt slightly off here. I think I would pinpoint this to inconsistent tones. The dialogue had some serious lines and then some cheesy lines - it would’ve been nice to just commit one way or the other. The chemistry between Shah Rukh Khan and Deepika Padukone’s characters felt more forced than fun. 

All the actors look great as action stars, but I couldn’t get into the action fully due to the subpar visual effects. I understand that Indian films have an exponentially lower budget than US blockbusters so by no means do I expect Mission Impossible quality. But, a lot of the action scenes unfortunately looked like blatant green screen so I couldn’t feel the tension that the film wanted me to. I don’t remember feeling this sane way about the visual effects for other films in this YRF Spy Universe like Ek Tha Tiger or War. 

This film trying showing off a lot of spectacle but it didn’t stick the landing for me. I think that there needs to be more focus on original screenplay than trying to imitate Hollywood spectacle. RRR got a huge worldwide following because, despite visual effects not being completely on par with Hollywood, it embraced and built upon Indian culture and storytelling and felt fresh to audiences. 

Two positives I will say about Pathaan:
1) I bought John Abraham’s villainous motive. While he was doing terrorist actions, I understood why he felt he was doing the right thing. 
2) The continuation of this YRF Spy Universe is pretty cool. I would totally see an “Avengers” film in this universe that pulls Shah Rukh Khan, Salman Khan, and Hrithik Roshan into the same movie.",,2023-03-26
2023-04-01,Rocky III,1982,https://boxd.it/43wGJZ,3.5,,"Even though I think the first and second films are better, I’m content that this third film is actually justified. This doesn’t seem like an overdone franchise so far, and I hope to feel the same way as I watch the rest. 

Like the last one, this film is a natural next story following Rocky II. It made sense for Rocky to hit an athletic peak at the end Rocky II, and then stagnate and slowly drop. A new character as a foil to Rocky was perfect to tell this story. 

I also appreciated the friendship between Rocky and Apollo. They were rivals in the past, and then the mutual respect blossomed into a friendship. 

I’m strongly mixed on the tonal shift of this film. While the previous films felt real, this one added parts that felt like a caricature. Hulk Hogan’s fight and Clubber Lang’s persona were very fun (and it was great to learn this is where Mr. T’s “I pity the fool!” originated), but the placement into a Rocky franchise just felt odd. 

I also really didn’t buy the relevation that Mickey gave to Rocky after the statue unveiling scene. I feel like Rocky would’ve been smart enough to figure that out himself. Unfortunately, a lot of the motivation in the film depends on buying into this.",,2023-03-30
2023-04-01,Varudu Kaavalenu,2021,https://boxd.it/43EOWj,1,,"This started as a typical cute romcom, and went so downhill in the second half. 

The first half introduced the girl with a unique personality as the owner of a small business and has a demeaning presence. We expect to soon hear background on why she’s like that. Instead, the second half decides to avoid that question, and turn into a typical Telugu movie with many silly conveniences. 

A huge nitpick I had was that the boy came from Dubai, but characters kept saying he came from Paris.",,2023-03-31
2023-04-10,Beast,2022,https://boxd.it/463Yo5,4,,"A creature feature filmed very well!

I don’t really get why this got mediocre reviews - I was thoroughly invested through the whole film’s thrills. 

The natural visuals of the African wilderness are absolutely beautiful. I also loved the night shots - they didn’t seem super dark or a cheap ploy to get around an easier visual effects process. 

There are many one shots, and I have no idea how they filmed those shots. The one shots definitely move it up above an average thriller level. 

I totally believed Idris Elba’s role in this film. He plays a doctor and a father trying to reconnect with his daughters, while also being a character that’s somewhat competent with weapons and hurting lions. That’s a lot of buy-in to expect from the audience, but I bought it since he’s a great actor. 

Docking one star because one of the characters has many stupid decisions out of the blue, seemingly just to increase the tension. They could’ve put some effort in a couple moments to naturally build the tension. Even something as little as a lion cracking a car window would’ve prevent the need for stupid decisions.",,2023-04-08
2023-04-10,Kimi,2022,https://boxd.it/4645NB,4.5,,"An engrossing contained thriller!

Most of the film focuses on Zoe Kravitz’s character, and she had an excellent performance here. I bought everything about her character background and her decisions. 

A slight tangent, but this showcases a great reason why I appreciate the art of film. Many throwaway films can have a throwaway supervillain flying through skyscrapers and killing many people, but somehow there is just no tension or fear. On the other hand, some of Kimi’s scariest moments is just an agoraphobe walking outside. You don’t need millions of CGI dollars to invest your audience - you just need to flesh out your characters and have a purpose behind Dutch angles. 

If you’re a Home Alone fan like me - there’s a reference here that’s perfection. 

Dropping a half star because the very end went a normal thriller route, and I would’ve expected something more unique given how the rest of the film was. It didn’t tank the film for me though.",,2023-04-08
2023-04-10,M3GAN,2022,https://boxd.it/464dHB,3.5,,"Solid B-movie thriller!

Many critic reviews seem to focus on saying something like “this is great for a film released in January”. I don’t like doing that - the legacy of a film shouldn’t rely on its release date, but on the film itself. 

I’m astonished by how low this budget is given how realistic M3gan looked. I didn’t observe any bad CGI or obvious puppeteering. 

My favorite parts were the moments of focusing on the social dangers of AI. The idea of a child’s development corrupted by an AI powered toy is scarier to me than a murdering toy. I really wish the AI social commentary was explored more, instead of the horror kills.

This film clearly got all the hype from social media, like TikToks for the M3gan dance. Honestly… pretty smart marketing.",,2023-04-05
2023-04-10,Marcel the Shell with Shoes On,2021,https://boxd.it/465eId,4,,"Another example of the fact that quality original content still exists!

The premise of this alone still astounds me - major credit to the filmmakers on the concept alone. And not only is it such a unique concept; it’s family-friendly. I’ve grown up watching films through childhood and that’s really what got me into a love for film. As an adult, a part of me is sad that some of the greatest/artistic films are too inappropriate to be accessible to children. Thankfully, Marcel the Shell with Shoes On can have shared appreciation for all ages. 

I was captivated solely on Marcel’s innocent outlook to new experiences. Adorable and thought-provoking. 

I’m docking one star simply because it didn’t personally connect with me all that way. This is really less a fault on the film and more on movie - I totally understand people that would love this movie.",,2023-04-05
2023-04-16,Rocky IV,1985,https://boxd.it/47HPbF,3.5,,"Another justified film in the franchise!

I’m content that four films in, we still have actual reason to follow the characters and buy into their arcs. Today’s franchises really need to take notes from the Rocky franchise. 

I appreciated Apollo Creed’s death as the center of this film. Apollo’s cockiness was consistent with his personality of the previous films, so it made sense that he wanted to stay in the ring with Ivan Drogo until his eventual demise. This death also gives believable motivation for Rocky to fight Ivan. Finally, a death in the ring further shows just how dangerous boxing is, which adds a lot of tension for the final fight. 

While reading upon the production background, I learned that the boxing scenes were legitimately filmed. In one instance, Sylvester Stallone got heart swelling and needed to be urgently transported to the hospital. In another instance, Carl Weathers almost quit the film because of a fight scene with Dolph Lundgren going way too overboard. Huge respect for shooting practical shots. 

Couple things didn’t work for me here:
- The robot “character” was super weird and didn’t fit into the overall tone. 
- Ivan’s backstory seemed cartoonish. He was displayed as a Russian manufactured object with no personality. This came off to me more as comical than scary. 
- The middle has multiple back-to-back montages. While all filmed well, it got overboard. 
- While the final fight scenes were shot practically, somehow I didn’t feel that way compared to the final fight of Rocky II. I think it’s because this final fight had many quick edits, so we didn’t stay sustained enough in singular shots to feel realistic. 
- The US vs. Russia sentiment got very heavy handed, especially with Rocky’s speech at the end. I get that this film came out during Soviet times, but that speech is not believable to be made by Rocky. He fought to avenge Apollo, not for his country. 

I’ve heard that all these cons were addressed in the directors cut of the film. I would love to check that out someday.",,2023-04-14
2023-04-21,Missing,2023,https://boxd.it/491ZqJ,4.5,,"Searching was one of my favorite films in the year it came out. Still can’t forget that theater experience. The “screenlife” aspect wasn’t just a gimmick, but a smartly edited and investing storytelling medium through the whole runtime. 

Missing was made by the same creators, so there’s no surprise that it’s also amazing!

I was afraid of this falling into a sequel trope, where it just copies a lot from the original and doesn’t have its own flavor. In many ways, it shares similar aspects to the original. But, the thrill was so engrossing that I truly didn’t care - why deviate from a formula that works so well?

I think what made this feel fresh enough for me was the switch in relationship. In Searching, the daughter is missing and the father is searching. This explored the father’s attempts to try being a protective father without pushing boundaries. On the other hand in Missing, the daughter is searching and the mother is missing. This explored the daughter’s yearn for independence, and then appreciating her mother’s love once she is missing. While very similar plot points, we could explore what would happen if the roles were reversed. 

Storm Reid was excellent in this. The whole film rests basically on her performance. I’m sure there’s an extra level of skill needed to act through webcam cameras all the time, and she sold everything. In addition, her character makes smart decisions at every turn - probably smarter than the everyday audience member. That helps with rooting for her character through the runtime. 

Another thing that makes this film stand out is the screenplay - very strongly written mystery thriller. It could still exist as an engrossing film even without the screenlife schtick. Just when you think you witnessed every twist, there’s more coming. 

I do slightly prefer Searching over Missing. This is likely a huge bias since I saw Searching first, so I’m curious to hear from others that saw Missing first. But, another reason was that I could actually believe Searching could occur in real life. Missing had a lot of conveniences to buy into. None of the conveniences detracted me from the thrill, but it was enough to make me feel it wasn’t perfectly realistic.",,2023-04-19
2023-05-01,The Lost City,2022,https://boxd.it/4bN2Vn,3,,"An enjoyable brainless comedy. 

I just went through a long work week and finished the first semester of my masters. After all that, I wanted to watch a movie but not a type that required my full attention to detail. The Lost City was perfect for my mood at this time. 

Yes, you could easily nitpick this movie and observe all the inconsistencies. Yes, you could say that this is ridiculously silly. Yes, there are other rom-coms that are more robustly edited together. Just don’t think that too much and you’ll have a fun ride. 

What elevated this movie beyond the forgettable realm was the characters - I’d happily watch another film with Sandra Bullock, Channing Tatum, Daniel Radcliffe, and Brad Pitt playing these characters again. 

While this isn’t amazing or iconic, I’m glad this movie was successful and I hope we can continue to get more movies like this.",,2023-04-29
2023-05-02,The Sound of Music,1965,https://boxd.it/4ca91x,5,,"This is an absolute joy from start to finish and still holds up so well. 

I definitely listened to the songs before and enjoy them. But, going into it I was afraid this would be like many other older movies - much slower pace compared to today’s films and may feel like a chore to sit through. Totally did not experience that :)

It may have a super long run time, but I genuinely did not want it to end! I was closely engrossed into every scene with a giant smile on my face. Maria’s love of life is infectious. Each of the kids have a joyful innocence. 

Each musical number fit so well with the plot of the film. The cinematography of the scenes were an absolute joy. 

We need more family-friendly movies like this made today. Most comedies today are either safe animated children’s films or stoner comedies. Nothing in between. I’m confident if another film like The Sound of Music was made today, it would be very very successful. Hollywood, I hope you read this review and act upon it.",,2023-04-01
2023-05-02,The Curious Case of Benjamin Button,2008,https://boxd.it/4caljN,3,,"A sorta normal movie elevated by David Fincher’s direction. 

As of this review, I watched every David Fincher movie except The Game and Mank. For now, I’d rank The Curious Case of Benjamin Button at the lowest of his films. Not necessarily a jab at this film, more that Fincher makes great films 🙂

Admittedly, I think I would’ve appreciated this film much more if I watched it at the time it was released. I think I would’ve appreciated the unique schtick of a backwards aging human, and really appreciated the visual effects it took to create this. 

All these years later, Benjamin Button has become joked about so much that I think it lessened the uniqueness of the concept for me. It felt like I just watched Brad Pitt’s character experience life. Definitely a well directed life by David Fincher, but there wasn’t really much more than that. 

Visual effects are definitely strong - I didn’t pinpoint any blatant CGI. But, de-aging has become a common technology now so it’s hard for me to praise the visual effects that many other films are now doing too. 

That being said, I don’t think I can sleep well at night if I gave this a negative review. All the acting is great, the world is well realized, Fincher’s direction is solid, and clearly every cast and crew member brought their A-game. It’s worth a one-time watch, but I don’t see myself revisiting this again.",,2023-04-21
2023-05-05,Balagam,2023,https://boxd.it/4cZQ3j,3,,"A realistically shot film about a death that occurs in a village in Telengana. Would like to see mainstream films more like this than like throwaway masala movies. 

I felt mixed around the family drama choices made. On one side, some of them were realistic. On the other hand, they also felt like unnecessary distractions from the main focus.",,2023-05-04
2023-05-06,Rocky V,1990,https://boxd.it/4dcOAh,3,,"A fine addition to the franchise. I’m neither angry with its existence nor was upset with missed opportunities. 

This had a good number of positive aspects, despite how much fans (and Stallone himself) try to forget this film. I like that this film went the direction of Rocky becoming a mentor for Tommy Gunn, and then actually fights him in the end. I like that this went small scale rather than trying to one-up an international fight from Rocky IV. I like that Rocky’s love of boxing was distracting him from being a proper from his son, and then seeing the consequences of this. 

A couple scenes got really cheesy, which makes me agree that this is the worst so far in the franchise. Not bad though. Other franchises have had much worse (like Fallen Kingdom and Dominion for Jurassic Park, or Alien Resurrection for Alien)",,2023-05-04
2023-05-07,Dune,2021,https://boxd.it/4dwofx,5,,"Proof that a film can have both depth and a strong theater experience!

My biggest regret is that I didn’t watch this film in theaters. I will definitely watch Part 2 in IMAX later this year. 

The visual effects are absolutely breathtaking. I was completely immersed in this world. Literally every shot can be a solid movie poster on a wall.  There really is no other film world like this one, as far as I know. 

My biggest concern going into this movie was that it would be so deep into lore that only fans of the book series can follow along. Thankfully, it was not complicated. It had a solid amount of story and smartly educated the viewer about the rules of this world, without feeling too exposition heavy. 

It seems like lots of criticisms center around the fact that this film is only a first half of the story. I really don’t get why that should be a criticism. It’s not like the studio assembly line franchises that make certain films just to set up the next one in the franchise (e.g. the Julia Louis-Dreyfuss scenes in Black Panther: Wakanda Forever). This film just told a story and put a bookmark in the middle, in my opinion. 

Denis Villeneuve, you are one of the best working directors today. Your films have both spectacle and depth. I will always look forward to anything you do!",,2023-05-06
2023-05-09,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/4e5APx,4,,"A solid coming-of-age story. 

This was one of the few movies where I went into it knowing absolutely nothing (other than it’s based on a book). 

Personally I don’t believe in the idea that I obviously won’t like a movie if I’m not the target audience. Yes, certain groups of people may love certain genres more than others. But, if a film is made well enough, it can connect with any viewer. For example, I’m nothing like the characters in Mean Girls but I still enjoy watching that and laugh at all the jokes. 

This film is about a sixth grade girl that navigates problems like navigating what religion she is, boys noticing her, wanting big boobs, and expecting her first period. I obviously don’t relate to any of that, but I was engrossed with witnessing how Margaret navigates these issues. 

It was also relieving to see a film set in the 1980s. Away from social media or smartphones - we see the the kids have fun with things like running through sprinklers rather than Snapchat filters. 

Docking one star only because there wasn’t really anything groundbreaking here. I’m sure it will connect well to some people that see it at a certain age. But there really isn’t much more for me to rave about it (or even watch it again).",,2023-05-05
2023-05-13,Galaxy Quest,1999,https://boxd.it/4eTC1J,5,,"This is likely the best parody movie to ever exist. Go watch it if you haven’t already! 

Most parody movies don’t really go into it with a goal of trying to be “good”. They seem to lean heavily into the “so bad it’s good” realm (e.g. Sharknado) and run by with just references to what they are poking fun at. And especially if you haven’t seen (or even like) the source material (e.g. Spaceballs*), you won’t take much away from the parody movie.

The best praise I can give to Galaxy Quest is that it is able to exist on its own. A lot of this film is similar to the Star Trek world. I personally have a pretty basic knowledge of Star Trek, but I was still very engrossed in Galaxy Quest. I’m sure Star Trek knowledge would elevate this film further, but it’s definitely not necessary to enjoy the film. 

Despite the film definitely being a comedy, there is a perfect amount of actual tension. I found myself actually at the edge of my seat during the third act - I can’t even say that about many actual action films made today. 

The concept of this film is very fresh. This could’ve gone a typical parody route and have the characters actually be spaceship managers. Instead, they were washed up actors of spaceship managers in an actual spaceship. This brings a lot of comedy that just writes itself, but also brings tension because of how incompetent they actually are for the tasks at hand. I expected the concept to get tired by the halfway point, but it really didn’t. 

It’s also interesting to view this many years later. This film very well predicted the craziness of today’s fandom, both in positive and negative aspects. Similarly, It’s so funny to me that Sigourney Weaver and Alan Rickman were cast in this film. Sigourney Weaver was the iconic Ellen Ripley in the Alien films, and Alan Rickman would later be Snape in the Harry Potter films. I bet they have experienced similar levels of weird fandom as they played actual iconic characters before. 

There are two side actors in this film that I didn’t know were in it beforehand. Not gonna spoil it if you don’t know, but once I saw them I randomly got so happy and so much more excited to experience the rest of this film. 

This was not a cookie-cutter, assembly line parody film generated from the movie executives. There was a lot of thought actually put into this. People wanting smart comedy will get that. People wanting thrills will get that too. 

*Don’t interpret this as me saying Spaceballs is bad. I definitely enjoyed that movie. I’m merely making the point that appreciating Spaceballs depends on knowing Star Wars.",,2023-05-11
2023-05-15,Austin Powers: International Man of Mystery,1997,https://boxd.it/4fkPQz,3,,"Great hero and villain caricatures in an ok film. 

My improv class recently had a final show, and some of my classmates played Dating Game. In this game, someone is on a Dating Game show interviewing three contestants. Each contestant plays a character suggested by the audience. One of the contestants was “Dr. Evil” - the audience laughed at all the clues, and the guesser guessed correctly. I felt embarrassed that I didn’t understand any of these reference (in fact, didn’t even know this was a part of the Austin Powers universe), so I knew I had to catch up on knowledge by watching this film. 

I understand why this film series has a cult following. Mike Myers is super talented. Austin Powers and Dr. Evil are hilarious characters. Many of the innuendos and references to old James Bond films are on point. In a way, I’m glad this franchise exists because it forced James Bond films to movie to the serious route than continue silly tones. 

This was a fun one-time watch. I see myself rewatching some scenes on YouTube, but don’t care enough to watch the film itself again. I’m interested enough to see the other two films, but admittedly not the most excited.",,2023-05-12
2023-05-15,Somebody I Used to Know,2023,https://boxd.it/4fkSoX,1.5,,"Nothing wrong with this film per se. The main thing is I ended the film wishing I spent my time elsewhere. I felt like everything this film offered exists in better ways in other rom-coms (and even soap operas). 

Was cool to see Alison Brie and Danny Pudi reunite after Community though.",,2023-05-13
2023-05-19,Side Effects,2013,https://boxd.it/4gq3WP,3.5,,"A good slow-burn with solid performances from Rooney Mara and Jude Law. 

I haven’t seen most of Steven Soderbergh’s filmography, but I am fascinated by his variety. He made the Ocean’s trilogy which are solid heist films, as well as Contagion which scathingly accurately predicted how humans react to COVID. So I am always ready to experience any of his films. 

This film is definitely thrilling - I was invested and looking forward to explore where the plot was going. I overall was on board with all the plot choices made here. 

But in hindsight, I don’t really feel like anything groundbreaking or hugely unique occurred here. And I don’t feel super enthusiastic to advertise that people have to watch this film. 

This film is oddly similar to Gone Girl, and I’d recommend you watch that film over this one.",,2023-05-14
2023-05-20,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/4gDdH7,2.5,,"I’m sad to give this a negative review because it shows that I am definitely not a kid anymore. The child version of myself would’ve LOVED this movie. 

I do give this movie credit for having hilarious use of the IP this straight-to-Disney+ movie somehow had. It references a lot more than just Disney-owned properties, and I don’t know how it got away with it. 

Other than that though, it’s really just a typical harmless kids movie. Follows all the expected tropes.",,2023-05-14
2023-05-21,The Kerala Story,2023,https://boxd.it/4gKRIt,4,,"Note: This film has come across heavy controversy in India, for potentially factual inaccuracies and phobic propaganda. I really don’t want to add to controversy, so I’m not going to comment directly on the touchy topics or my opinions on them. I’ll only discuss the filmmaking here.
In addition, unrelated to this specific film: I’ve seen many political films either praised or criticized, purely based on the political affiliation of the critic. I wish critics did a better job of reviewing the filmmaking with a neutral viewpoint, and then separating their political thoughts in another segment. 

Before watching this film, I was curious to hear why someone could potentially be convinced into a dangerous ideology. What this film does a really good job of is showing how the convincing is so effective. Target people that seem to not have strong personal opinions. Personally dig into tragedies that occurred in their past, and share how your ideology would’ve prevented that tragedy. Have many individuals involved in varying degrees of “good cop, bad cop”. And on top of that, have no concrete proof that all this happened so you can “legally” get away with it. This is what made the film particularly gut-wrenching for me: this is very real and can easily happen to anyone we know. 

This is a really difficult and graphic watch, but I think it’s not over-the-top. It’s done to enough of a degree to show just how tragic the circumstances are. 

The film makes a narrative choice to concurrently follow three timelines:
1) Shalini getting interviewed by the authorities
2) Shalini’s background that led to her conversion (which is the content of her interview)
3) Shalini’s life post-conversion (which then eventually also becomes the content of her interview)
Surprisingly, all this is actually easy to follow and not confusing. But, I couldn’t help but wish this was done chronologically instead. It would’ve added much more tension on wondering if she would make it out alive. I get the goal of this film was to bring awareness of the topic (as opposed to being a fictional thriller), but I still view this as a better film structure.",,2023-05-18
